
2024/06/12 (14:46:40) | ===> btop++ v.1.3.0
2024/06/12 (14:46:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/12 (14:50:33) | ===> btop++ v.1.3.0
2024/06/12 (14:50:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/12 (14:51:33) | ===> btop++ v.1.3.0
2024/06/12 (14:51:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (16:28:35) | ===> btop++ v.1.3.0
2024/08/14 (16:28:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (16:05:31) | ===> btop++ v.1.3.0
2024/08/19 (16:05:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (16:55:17) | ===> btop++ v.1.3.0
2024/08/19 (16:55:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (16:57:24) | ===> btop++ v.1.3.0
2024/08/19 (16:57:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (17:01:36) | ===> btop++ v.1.3.0
2024/08/19 (17:01:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/20 (16:55:44) | ===> btop++ v.1.3.0
2024/08/20 (16:55:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/28 (20:47:59) | ===> btop++ v.1.3.0
2024/08/28 (20:47:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (17:51:30) | ===> btop++ v.1.3.0
2024/08/30 (17:51:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (17:59:16) | ===> btop++ v.1.3.0
2024/08/30 (17:59:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (23:22:13) | ===> btop++ v.1.3.0
2024/09/20 (23:22:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (23:22:58) | ===> btop++ v.1.3.0
2024/09/20 (23:22:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

